date,height,highlow
02/24/2018 06:18 AM,0.44,L
02/24/2018 09:49 AM,0.6,H
02/24/2018 03:25 PM,-0.07,L
02/24/2018 11:49 PM,1.97,H
02/25/2018 06:53 AM,0.32,L
02/25/2018 11:20 AM,0.63,H
02/25/2018 04:31 PM,-0.14,L
02/26/2018 12:38 AM,2.12,H
02/26/2018 07:23 AM,0.22,L
02/26/2018 12:20 PM,0.73,H
02/26/2018 05:30 PM,-0.22,L
02/27/2018 01:21 AM,2.21,H
02/27/2018 07:52 AM,0.14,L
02/27/2018 01:10 PM,0.86,H
02/27/2018 06:24 PM,-0.26,L
02/28/2018 02:01 AM,2.21,H
02/28/2018 08:20 AM,0.08,L
02/28/2018 01:56 PM,1,H
02/28/2018 07:13 PM,-0.26,L
03/01/2018 02:38 AM,2.15,H
03/01/2018 08:48 AM,0.03,L
03/01/2018 02:41 PM,1.13,H
03/01/2018 08:00 PM,-0.2,L
03/02/2018 03:13 AM,2.01,H
03/02/2018 09:17 AM,-0.01,L
03/02/2018 03:26 PM,1.24,H
03/02/2018 08:46 PM,-0.1,L
03/03/2018 03:46 AM,1.82,H
03/03/2018 09:46 AM,-0.04,L
03/03/2018 04:12 PM,1.31,H
03/03/2018 09:33 PM,0.05,L
03/04/2018 04:18 AM,1.59,H
03/04/2018 10:16 AM,-0.04,L
03/04/2018 05:01 PM,1.36,H
03/04/2018 10:23 PM,0.22,L
03/05/2018 04:47 AM,1.35,H
03/05/2018 10:46 AM,-0.02,L
03/05/2018 05:55 PM,1.38,H
03/05/2018 11:21 PM,0.39,L
03/06/2018 05:14 AM,1.11,H
03/06/2018 11:19 AM,0.02,L
03/06/2018 06:58 PM,1.39,H
03/07/2018 12:37 AM,0.53,L
03/07/2018 05:37 AM,0.89,H
03/07/2018 11:56 AM,0.08,L
03/07/2018 08:13 PM,1.41,H
03/08/2018 03:00 AM,0.58,L
03/08/2018 05:39 AM,0.7,H
03/08/2018 12:42 PM,0.14,L
03/08/2018 09:33 PM,1.46,H
03/09/2018 01:46 PM,0.18,L
03/09/2018 10:42 PM,1.55,H
03/10/2018 06:45 AM,0.39,L
03/10/2018 10:28 AM,0.55,H
03/10/2018 03:03 PM,0.18,L
03/10/2018 11:35 PM,1.64,H
03/11/2018 06:57 AM,0.33,L
03/11/2018 11:33 AM,0.62,H
03/11/2018 04:12 PM,0.14,L
03/12/2018 12:18 AM,1.71,H
03/12/2018 07:09 AM,0.28,L
03/12/2018 12:15 PM,0.72,H
03/12/2018 05:07 PM,0.07,L
03/13/2018 12:54 AM,1.77,H
03/13/2018 07:22 AM,0.24,L
03/13/2018 12:49 PM,0.84,H
03/13/2018 05:53 PM,0,L
03/14/2018 01:25 AM,1.8,H
03/14/2018 07:38 AM,0.18,L
03/14/2018 01:22 PM,0.96,H
03/14/2018 06:34 PM,-0.05,L
